datetime,Inv,MPPT,P,Tamb,V,G,I,Tmod,P-AC
2024-05-01 05:35:00,468,826,300.0,25.0,516.8,6.108,0.48,26.0,290.0
2024-05-01 05:40:00,468,826,820.0,25.0,525.4,13.951,1.34,26.06,782.0
2024-05-01 05:45:00,468,826,1440.0,25.0,535.0,22.99,2.3,26.22,1380.0
2024-05-01 05:50:00,468,826,2180.0,25.0,545.8,33.209,3.38,26.54,2072.0
2024-05-01 05:55:00,468,826,2980.0,25.0,557.4,44.169,4.54,26.84,2838.0
2024-05-01 06:00:00,468,826,3800.0,25.0,569.6,55.533,5.76,27.18,3620.0
2024-05-01 06:05:00,468,826,4620.0,25.083,581.0,66.908,6.9,27.5,4396.0
2024-05-01 06:10:00,468,826,5440.0,25.167,592.6,78.448,8.06,27.82,5180.0
2024-05-01 06:15:00,468,826,6400.0,25.25,607.0,91.423,9.5,28.18,6100.0
2024-05-01 06:20:00,468,826,7620.0,25.333,623.8,107.621,11.18,28.58,7254.0
2024-05-01 06:25:00,468,826,8700.0,25.417,639.6,125.766,12.76,29.18,8352.0
2024-05-01 06:30:00,468,826,9920.0,25.5,653.6,147.654,14.16,29.82,9534.0
2024-05-01 06:35:00,468,826,11980.0,25.583,682.8,176.581,17.34,30.74,11424.0
2024-05-01 06:40:00,468,826,11380.0,25.667,661.6,200.65,14.96,31.78,10664.0
2024-05-01 06:45:00,468,826,12180.0,25.75,722.8,228.375,15.96,33.0,11600.0
2024-05-01 06:50:00,468,826,11060.0,25.833,,247.477,14.26,33.88,10508.0
2024-05-01 06:55:00,468,826,12100.0,25.917,,262.525,15.72,34.7,11286.0
2024-05-01 07:00:00,468,826,11900.0,26.0,871.2,264.735,15.44,35.42,11250.0
2024-05-01 07:05:00,468,826,12380.0,26.425,877.0,298.145,16.02,36.28,11762.0
2024-05-01 07:10:00,468,826,15580.0,26.85,716.2,305.878,20.42,37.56,15036.0
2024-05-01 07:15:00,468,826,17920.0,27.275,750.4,315.693,23.62,38.12,16908.0
2024-05-01 07:20:00,468,826,16420.0,27.7,,368.796,21.28,38.58,15636.0
2024-05-01 07:25:00,468,826,17080.0,28.125,,386.014,22.12,39.3,16272.0
2024-05-01 07:30:00,468,826,15720.0,28.55,,398.793,20.28,40.08,14964.0
2024-05-01 07:35:00,468,826,17180.0,28.975,,417.428,22.24,41.0,16370.0
2024-05-01 07:40:00,468,826,16040.0,29.4,,436.719,20.66,41.58,15156.0
2024-05-01 07:45:00,468,826,16960.0,29.825,,461.811,21.86,42.76,16070.0
