datetime,Inv,MPPT,P,V,G,I,P-AC,Tamb,Tmod
2024-05-01 05:35:00,516,930,,,6.996,,0.0,25.0,25.52
2024-05-01 05:40:00,516,930,,,15.447,,0.0,25.0,25.68
2024-05-01 05:45:00,516,930,,,25.091,,165.0,25.0,25.92
2024-05-01 05:50:00,516,930,,,35.204,,322.867,25.0,26.18
2024-05-01 05:55:00,516,930,,,45.462,,511.05,25.0,26.6
2024-05-01 06:00:00,516,930,,,56.754,,702.2,25.0,27.02
2024-05-01 06:05:00,516,930,,,68.107,,898.233,25.083,27.44
2024-05-01 06:10:00,516,930,,,79.098,,1119.617,25.167,27.82
2024-05-01 06:15:00,516,930,,,92.035,,1323.65,25.25,28.26
2024-05-01 06:20:00,516,930,,,109.141,,1571.267,25.333,28.68
2024-05-01 06:25:00,516,930,,,127.785,,1871.75,25.417,28.98
2024-05-01 06:30:00,516,930,,,153.224,,2192.467,25.5,29.22
2024-05-01 06:35:00,516,930,,,188.636,,2624.35,25.583,30.06
2024-05-01 06:40:00,516,930,,,217.721,,3147.483,25.667,30.94
2024-05-01 06:45:00,516,930,,,249.686,,3605.8,25.75,32.2
2024-05-01 06:50:00,516,930,,,270.515,,4086.333,25.833,33.56
2024-05-01 06:55:00,516,930,,,274.75,,4366.483,25.917,34.8
2024-05-01 07:00:00,516,930,,,285.261,,4503.517,26.0,35.82
2024-05-01 07:05:00,516,930,,,307.875,,4732.033,26.425,36.66
2024-05-01 07:10:00,516,930,,,324.869,,5131.317,26.85,37.08
2024-05-01 07:15:00,516,930,,,364.177,,5450.35,27.275,37.26
2024-05-01 07:20:00,516,930,,,403.18,,5940.85,27.7,37.74
2024-05-01 07:25:00,516,930,,,436.24,,6502.017,28.125,38.0
2024-05-01 07:30:00,516,930,,,454.514,,6822.033,28.55,38.4
2024-05-01 07:35:00,516,930,,,474.755,,7072.467,28.975,39.2
2024-05-01 07:40:00,516,930,,,493.198,,7372.717,29.4,39.44
2024-05-01 07:45:00,516,930,,,522.922,,7655.85,29.825,40.12
2024-05-01 07:50:00,516,930,,,553.417,,8119.55,30.25,41.26
2024-05-01 07:55:00,516,930,,,513.633,,8591.75,30.675,41.22
2024-05-01 08:00:00,516,930,,,357.648,,7793.65,31.1,39.68
2024-05-01 08:05:00,516,930,,,358.143,,5662.25,30.925,39.32
2024-05-01 08:10:00,516,930,,,481.635,,5937.883,30.75,40.24
2024-05-01 08:15:00,516,930,,,563.156,,8233.683,30.575,42.26
2024-05-01 08:20:00,516,930,,,487.659,,8957.317,30.4,42.64
2024-05-01 08:25:00,516,930,,,411.17,,7603.85,30.225,41.88
2024-05-01 08:30:00,516,930,,,631.982,,6706.833,30.05,43.6
2024-05-01 08:35:00,516,930,,,471.809,,9762.667,29.875,45.58
2024-05-01 08:40:00,516,930,,,480.709,,7521.533,29.7,45.88
2024-05-01 08:45:00,516,930,,,570.368,,8610.65,29.525,46.54
2024-05-01 08:50:00,516,930,,,635.378,,9048.033,29.35,47.32
2024-05-01 08:55:00,516,930,,,566.542,,10279.067,29.175,48.38
2024-05-01 09:00:00,516,930,,,308.267,,8704.617,29.0,46.06
2024-05-01 09:05:00,516,930,,,280.823,,4824.333,29.0,41.68
2024-05-01 09:10:00,516,930,,,347.652,,4592.5,29.0,40.16
2024-05-01 09:15:00,516,930,,,237.89,,5426.833,29.0,38.72
2024-05-01 09:20:00,516,930,,,297.067,,3779.367,29.0,37.1
2024-05-01 09:25:00,516,930,,,329.671,,4919.433,29.0,37.18
2024-05-01 09:30:00,516,930,,,284.874,,5433.517,29.0,37.5
2024-05-01 09:35:00,516,930,,,163.62,,4391.883,29.0,36.54
2024-05-01 09:40:00,516,930,,,133.831,,2515.35,29.0,35.32
2024-05-01 09:45:00,516,930,,,124.833,,2120.933,29.0,34.3
2024-05-01 09:50:00,516,930,,,183.876,,1949.417,29.0,33.4
2024-05-01 09:55:00,516,930,,,300.547,,3214.95,29.0,34.34
2024-05-01 10:00:00,516,930,,,301.559,,4922.917,29.0,35.4
2024-05-01 10:05:00,516,930,,,274.451,,4900.183,29.0,35.78
2024-05-01 10:10:00,516,930,,,255.79,,4495.083,29.0,36.02
2024-05-01 10:15:00,516,930,,,245.336,,4078.667,29.0,35.82
2024-05-01 10:20:00,516,930,,,229.589,,3981.483,29.0,35.86
2024-05-01 10:25:00,516,930,,,211.271,,3594.467,29.0,35.14
2024-05-01 10:30:00,516,930,,,367.298,,3543.983,29.0,35.48
2024-05-01 10:35:00,516,930,,,332.946,,6184.617,29.0,36.68
2024-05-01 10:40:00,516,930,,,145.356,,5298.967,29.0,36.02
2024-05-01 10:45:00,516,930,,,76.375,,2127.683,29.0,34.48
2024-05-01 10:50:00,516,930,,,121.59,,1064.25,29.0,33.88
2024-05-01 10:55:00,516,930,,,209.603,,1837.95,29.0,34.54
2024-05-01 11:00:00,516,930,,,257.654,,3328.117,29.0,35.62
2024-05-01 11:05:00,516,930,,,272.951,,4207.317,29.442,35.44
2024-05-01 11:10:00,516,930,,,305.206,,4473.15,29.883,35.34
2024-05-01 11:15:00,516,930,,,291.684,,4846.067,30.325,35.36
2024-05-01 11:20:00,516,930,,,270.666,,4610.8,30.767,35.32
2024-05-01 11:25:00,516,930,,,248.579,,,31.208,35.2
2024-05-01 11:30:00,516,930,,,217.27,,,31.65,34.533
2024-05-01 11:35:00,516,930,0.0,0.0,182.652,0.0,1896.0,32.092,34.1
2024-05-01 11:40:00,516,930,0.0,0.0,161.258,0.0,2688.667,32.533,33.66
2024-05-01 11:45:00,516,930,,,139.31,,,32.975,33.167
2024-05-01 11:50:00,516,930,,,129.59,,,33.417,32.475
2024-05-01 11:55:00,516,930,,,130.795,,1860.0,33.858,32.58
2024-05-01 12:00:00,516,930,,,134.827,,1913.2,34.3,33.0
2024-05-01 12:05:00,516,930,,,128.992,,1953.867,33.692,33.08
2024-05-01 12:10:00,516,930,,,120.493,,1852.367,33.083,33.02
2024-05-01 12:15:00,516,930,,,107.95,,1723.433,32.475,33.12
2024-05-01 12:20:00,516,930,,,89.347,,1514.05,31.867,32.94
2024-05-01 12:25:00,516,930,,,67.67,,1206.45,31.258,32.76
2024-05-01 12:30:00,516,930,,,64.643,,865.883,30.65,32.46
2024-05-01 12:35:00,516,930,,,69.353,,819.733,30.042,32.24
2024-05-01 12:40:00,516,930,,,71.344,,899.367,29.433,32.16
2024-05-01 12:45:00,516,930,,,75.79,,928.667,28.825,32.1
2024-05-01 12:50:00,516,930,,,82.983,,988.133,28.217,32.1
2024-05-01 12:55:00,516,930,,,91.987,,1114.933,27.608,32.06
2024-05-01 13:00:00,516,930,,,102.305,,1243.867,27.0,32.2
2024-05-01 13:05:00,516,930,,,118.895,,1398.517,27.0,32.36
2024-05-01 13:10:00,516,930,,,127.783,,1654.833,27.0,32.4
2024-05-01 13:15:00,516,930,,,126.664,,1760.433,27.0,32.3
2024-05-01 13:20:00,516,930,,,124.403,,1760.467,27.0,32.38
2024-05-01 13:25:00,516,930,,,124.326,,1722.533,27.0,32.36
2024-05-01 13:30:00,516,930,,,122.917,,1717.7,27.0,32.28
